stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
TX,Lake Hubbard,3452,1,,2021,907,826.78,73228.65,,0.298,0.001,56353.318,0.0592,58.599,0.0983,943754.44,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CSOSG2"
TX,Lake Hubbard,3452,2,,2021,1581,1448.89,279041.96,,1.434,0.0012,185360.627,0.0591,61.246,0.044,3114738.425,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,"Selective Catalytic Reduction,Low NOx Burner Technology w/ Overfire Air",,,"ARP, CSOSG2"
TX,Mountain Creek Generating Station,3453,6,,2021,1990,1964.73,74701.98,,0.281,0.001,55695.77,0.0592,50.956,0.0775,937233.395,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,"Low NOx Burner Technology (Dry Bottom only),Combustion Modification/Fuel Reburning",,,"ARP, CSOSG2"
TX,Mountain Creek Generating Station,3453,7,,2021,2689,2658.14,97775.51,,0.371,0.001,73584.7,0.0592,133.829,0.1566,1238180.33,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,"Low NOx Burner Technology (Dry Bottom only),Combustion Modification/Fuel Reburning",,,"ARP, CSOSG2"
TX,Mountain Creek Generating Station,3453,8,,2021,1773,1758.62,366598.82,,1.273,0.001,252087.479,0.059,43.182,0.0161,4241839.59,Pipeline Natural Gas,,Tangentially-fired,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Newman Power Station,3456,1,,2021,4315,4284.85,190340.69,,0.687,0.001,136119.424,0.0591,228.763,0.1897,2290480.527,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,Newman Power Station,3456,2,,2021,6387,6355.45,309155.13,,1.052,0.001,208451.438,0.0591,336.049,0.1843,3507498.507,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2, TXSO2"
TX,Newman Power Station,3456,3,,2021,6135,6087.95,304957.71,,1.036,0.001,205132.094,0.0591,266.717,0.1518,3451773.214,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2, TXSO2"
TX,Newman Power Station,3456,**4,,2021,7063,7018.74,491112.71,,1.511,0.001,299245.178,0.059,385.784,0.1563,5035358.8,Pipeline Natural Gas,,Combined cycle,,Water Injection,,,"ARP, CSOSG2, TXSO2"
TX,Newman Power Station,3456,**5,,2021,6753,6696.45,465332.39,,1.442,0.001,285565.28,0.059,381.75,0.1651,4805157.672,Pipeline Natural Gas,,Combined cycle,,Water Injection,,,"ARP, CSOSG2, TXSO2"
TX,Newman Power Station,3456,GT-6A,,2021,6979,6960.36,643253.99,,1.597,0.001,316297.108,0.059,31.964,0.0134,5322302.436,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Newman Power Station,3456,GT-6B,,2021,7607,7596.52,710409.18,,1.787,0.001,353987.344,0.059,76.347,0.0293,5956516.726,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Lewis Creek,3457,1,,2021,7285,7276.91,787018.88,,2.54,0.001,503139.886,0.059,98.073,0.0229,8466328.769,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Lewis Creek,3457,2,,2021,5646,5632.59,560121.62,,1.724,0.001,341506.766,0.059,64.576,0.0217,5746464.763,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Sabine,3459,1,,2021,3578,3566.28,293462.54,,0.797,0.001,157779.731,0.0592,196.661,0.1387,2654427.716,Pipeline Natural Gas,,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,Sabine,3459,3,,2021,5183,5166.82,678295.19,,2.17,0.001,429832.871,0.059,312.813,0.0968,7232824.544,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,,,"ARP, CSOSG2"
TX,Sabine,3459,4,,2021,5158,5150.88,1518491.19,,4.585,0.001,908196.831,0.059,1109.434,0.1278,15282129.799,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CSOSG2"
TX,Sabine,3459,5,,2021,5989,5977.72,932571.31,,3.061,0.001,606335.468,0.059,423.459,0.076,10202679.718,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,,,"ARP, CSOSG2"
TX,Cedar Bayou,3460,CBY1,,2021,4551,4533.54,1645297.85,,5.153,0.001,1020809.651,0.059,413.112,0.0408,17177041.437,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Cedar Bayou,3460,CBY2,,2021,3437,3426.09,1245676.48,,3.74,0.001,740870.891,0.059,376.389,0.0505,12466559.082,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Greens Bayou,3464,GBY73,,2021,617,540.97,20442.22,,,,,,33.616,0.2902,317880.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Greens Bayou,3464,GBY74,,2021,1166,1042.11,40513.16,,,,,,60.559,0.2828,563317.2,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Greens Bayou,3464,GBY81,,2021,1129,1006.69,42384.4,,,,,,68.612,0.2816,642468.2,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Greens Bayou,3464,GBY82,,2021,1116,998.15,36792.3,,,,,,64.266,0.2887,589240.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Greens Bayou,3464,GBY83,,2021,1123,998.92,42628.6,,,,,,67.462,0.2842,633699.6,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Greens Bayou,3464,GBY84,,2021,924,818.14,33209.13,,,,,,52.113,0.2815,501186.8,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW31,,2021,2349,2145.33,111654.47,,,,90848.024,0.0591,12.459,0.0211,1528690.707,Pipeline Natural Gas,,Combined cycle,,Combustion Modification/Fuel Reburning,,,CSOSG2
TX,T H Wharton,3469,THW32,,2021,2401,2203.06,119600.45,,,,,,12.913,0.0209,1563091.879,Pipeline Natural Gas,,Combined cycle,,Combustion Modification/Fuel Reburning,,,CSOSG2
TX,T H Wharton,3469,THW33,,2021,2134,1947.08,106521.69,,,,83813.62,0.0595,12.622,0.0229,1410363.874,Pipeline Natural Gas,,Combined cycle,,,,,CSOSG2
TX,T H Wharton,3469,THW34,,2021,2236,2049.11,109834.81,,,,87513.981,0.0591,11.535,0.0204,1472591.241,Pipeline Natural Gas,,Combined cycle,,,,,CSOSG2
TX,T H Wharton,3469,THW41,,2021,2268,2065.71,107909.79,,,,88183.417,0.0591,11.989,0.0203,1483867.632,Pipeline Natural Gas,,Combined cycle,,,,,CSOSG2
TX,T H Wharton,3469,THW42,,2021,2301,2117.73,111151.98,,,,89555.266,0.0591,11.321,0.0191,1506967.81,Pipeline Natural Gas,,Combined cycle,,,,,CSOSG2
TX,T H Wharton,3469,THW43,,2021,2475,2277.37,119577.87,,,,95726.174,0.0591,12.366,0.019,1610754.915,Pipeline Natural Gas,,Combined cycle,,,,,CSOSG2
TX,T H Wharton,3469,THW44,,2021,2438,2255.8,119518.17,,,,,,12.542,0.0198,1598547.489,Pipeline Natural Gas,,Combined cycle,,Combustion Modification/Fuel Reburning,,,CSOSG2
TX,T H Wharton,3469,THW51,,2021,991,880.87,52307.63,,,,,,96.258,0.2211,957329.7,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW52,,2021,989,877.52,48667.37,,,,,,96.747,0.2284,953688.2,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW53,,2021,1001,882.21,49266.73,,,,,,96.902,0.2241,958786.1,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW54,,2021,1021,911.86,50046.9,,,,,,99.745,0.2252,991009.1,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW55,,2021,985,872.64,49434.64,,,,,,95.874,0.2239,948384.4,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,T H Wharton,3469,THW56,,2021,994,879.08,49157.96,,,,,,96.634,0.2298,955384.4,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
TX,W A Parish,3470,WAP1,,2021,1928,1858.5,137248.96,,0.474,0.001,93839.828,0.0591,182.227,0.189,1579070.778,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Overfire Air,,,"ARP, CSOSG2"
TX,W A Parish,3470,WAP2,,2021,2573,2506.26,174218.51,,0.64,0.001,126835.236,0.0591,130.197,0.1035,2134243.383,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Overfire Air,,,"ARP, CSOSG2"
TX,W A Parish,3470,WAP3,,2021,2866,2816.57,359747.7,,1.087,0.001,215311.207,0.0591,426.845,0.1675,3622936.911,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Overfire Air,,,"ARP, CSOSG2"
TX,W A Parish,3470,WAP4,,2021,4007,3936.8,1086107.05,,3.458,0.001,684926.691,0.059,964.668,0.1425,11525150.968,Pipeline Natural Gas,,Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2, TXSO2"
TX,W A Parish,3470,WAP5,,2021,7616,7602.29,4207397.29,,11938.018,0.5883,4142005.129,0.1042,1192.469,0.0608,39610611.469,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,Baghouse,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,W A Parish,3470,WAP6,,2021,5743,5717.12,3003186.81,,10103.55,0.6065,3376896.606,0.104,1027.056,0.063,32240451.441,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,Baghouse,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,W A Parish,3470,WAP7,,2021,7733,7724.1,3791992.88,,10005.626,0.5956,3455556.216,0.1041,1013.452,0.0615,33050176.856,Coal,Pipeline Natural Gas,Tangentially-fired,,Selective Catalytic Reduction,Baghouse,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,W A Parish,3470,WAP8,"MS1, MS2",2021,5995,5984.04,3133545.81,,1816.957,0.1217,3110909.958,0.1042,715.497,0.0491,29681742.029,Coal,Pipeline Natural Gas,Tangentially-fired,"Sodium Based,Wet Lime FGD","Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Selective Catalytic Reduction,Ammonia Injection",Baghouse,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
TX,Knox Lee Power Plant,3476,5,,2021,2223,2188.9,197759.33,,2.116,0.002,125771.455,0.0591,124.42,0.1024,2116371.699,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,Wilkes Power Plant,3478,1,,2021,5068,5037.44,223519.37,,0.771,0.001,152608.738,0.0592,203.63,0.1518,2567873.264,Pipeline Natural Gas,Other Oil,Tangentially-fired,,Combustion Modification/Fuel Reburning,,,"ARP, CSOSG2, TXSO2"
TX,Wilkes Power Plant,3478,2,,2021,3722,3695.73,335097.28,,1.13,0.001,223789.945,0.059,272.704,0.1222,3766609.696,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),,,"ARP, CSOSG2, TXSO2"
TX,Wilkes Power Plant,3478,3,,2021,3950,3901.88,392508.68,,1.197,0.001,237117.164,0.0595,241.107,0.0916,3989933.169,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),,,"ARP, CSOSG2, TXSO2"
TX,Jones Station,3482,151B,,2021,2807,2766.66,242110.58,,0.768,0.001,151828.809,0.0591,138.797,0.098,2553840.71,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2"
TX,Jones Station,3482,152B,,2021,4892,4837.88,450766.88,,1.963,0.0011,291543.851,0.0593,242.764,0.0956,4873632.924,Pipeline Natural Gas,"Diesel Oil, Other Oil",Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,,,"ARP, CSOSG2"
TX,Jones Station,3482,153T,,2021,2307,2131.85,315137.14,,1.001,0.001,198378.042,0.059,48.532,0.0322,3338107.43,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Jones Station,3482,154T,,2021,1747,1602.78,233481.55,,0.742,0.001,146925.604,0.059,37.292,0.0351,2472307.408,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Nichols Station,3484,141B,,2021,5058,5003.44,194309.84,,0.625,0.0008,122546.519,0.0592,108.998,0.097,2062105.703,Pipeline Natural Gas,,Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2"
TX,Nichols Station,3484,142B,,2021,3560,3497.47,121223.79,,0.446,0.0009,86110.269,0.0592,79.927,0.0993,1448958.361,Pipeline Natural Gas,,Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2"
TX,Nichols Station,3484,143B,,2021,6073,5957.43,335692.45,,1.151,0.001,227947.434,0.0591,293.165,0.1302,3835809.197,Pipeline Natural Gas,,Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2"
TX,Plant X,3485,111B,,2021,284,277.15,9001.63,,0.036,0.0008,7511.924,0.0596,30.016,0.3998,126400.942,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,Plant X,3485,112B,,2021,909,896.58,55617.52,,0.186,0.0009,37220.827,0.0592,28.827,0.0832,625002.506,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,Plant X,3485,113B,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,Plant X,3485,114B,,2021,3835,3791.72,306153.45,,1.063,0.001,195127.56,0.0592,178.151,0.0925,3253754.267,Pipeline Natural Gas,"Diesel Oil, Other Oil",Tangentially-fired,,Overfire Air,,,"ARP, CSOSG2"
TX,Graham,3490,1,,2021,1246,1130.43,110430.27,,0.373,0.001,73433.886,0.0593,191.269,0.2166,1231306.394,Pipeline Natural Gas,"Diesel Oil, Residual Oil",Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CSOSG2"
TX,Graham,3490,2,,2021,1350,1213.39,183616.27,,0.678,0.0011,119663.726,0.0593,269.571,0.1795,2009872.37,Pipeline Natural Gas,"Diesel Oil, Residual Oil",Dry bottom wall-fired boiler,,"Combustion Modification/Fuel Reburning,Overfire Air",,,"ARP, CSOSG2, TXSO2"
TX,Handley Generating Station,3491,3,,2021,3156,3116.47,452147.38,,1.539,0.001,304798.844,0.059,59.249,0.0226,5128847.325,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,"Combustion Modification/Fuel Reburning,Selective Catalytic Reduction",,,"ARP, CSOSG2"
TX,Handley Generating Station,3491,4,,2021,2396,2186.92,393958.18,,1.364,0.001,270181.671,0.0591,36.397,0.0235,4546321.46,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Handley Generating Station,3491,5,,2021,1787,1620.17,275397.47,,1.004,0.001,198977.848,0.0591,21.519,0.0209,3348201.51,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Morgan Creek,3492,CT1,,2021,238,201.4,10555.6,,,,,,58.39,0.8257,140480.1,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Morgan Creek,3492,CT2,,2021,342,276.03,12317.91,,,,,,65.217,0.7705,170215.1,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Morgan Creek,3492,CT3,,2021,246,207.46,10243.15,,,,,,59.474,0.7807,157139.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Morgan Creek,3492,CT4,,2021,270,223.97,10607.57,,,,,,69.681,0.9185,147892.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Morgan Creek,3492,CT5,,2021,257,210.39,10156.87,,,,,,64.103,0.908,139051.1,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Morgan Creek,3492,CT6,,2021,211,182.48,9033.64,,,,,,69.5,1.0859,125305.8,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Permian Basin,3494,CT1,,2021,252,209.86,10435.65,,,,9353.514,0.0665,15.49,0.2062,136713.527,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Permian Basin,3494,CT2,,2021,278,229.55,11551.01,,,,9990.408,0.0656,18.495,0.2242,148329.498,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Permian Basin,3494,CT3,,2021,476,383.53,17541.88,,,,14876.366,0.0632,28.262,0.2243,230685.732,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Permian Basin,3494,CT4,,2021,421,330.69,15318.27,,,,13701.624,0.0637,27.628,0.2313,209605.804,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Permian Basin,3494,CT5,,2021,307,248.22,12366.03,,,,11015.476,0.0659,18.548,0.212,161490.373,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Stryker Creek,3504,1,,2021,1168,1074.75,67197.78,,0.245,0.001,48311.597,0.0592,105.054,0.1637,812778.804,Pipeline Natural Gas,"Diesel Oil, Residual Oil",Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),,,"ARP, CSOSG2"
TX,Stryker Creek,3504,2,,2021,1628,1515.85,257457.43,,0.907,0.001,172795.281,0.0591,126.33,0.0705,2903284.582,Pipeline Natural Gas,"Diesel Oil, Residual Oil",Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,,,"ARP, CSOSG2, TXSO2"
TX,Trinidad,3507,9,,2021,1216,1136.77,113592.62,,0.471,0.001,93318.242,0.0591,183.48,0.1777,1570248.485,Pipeline Natural Gas,Residual Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,Decker Creek,3548,2,,2021,5907,5876.29,671232.82,,5.411,0.0017,463884.868,0.059,374.684,0.1009,7805299.04,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,Decker Creek,3548,GT-1A,,2021,180,152.44,4246.15,,,,,,18.675,0.7001,53354.0,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-1B,,2021,178,149.39,4224.27,,,,,,18.301,0.7001,52286.5,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-2A,,2021,329,256.12,7175.12,,,,,,31.376,0.7001,89642.0,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-2B,,2021,362,259.66,6806.81,,,,,,31.81,0.7002,90881.0,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-3A,,2021,335,274.22,7166.17,,,,,,33.593,0.7001,95977.0,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-3B,,2021,363,304.51,8411.79,,,,,,37.304,0.7001,106578.5,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-4A,,2021,55,34.81,713.98,,,,,,4.265,0.7003,12183.5,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Decker Creek,3548,GT-4B,,2021,141,126.46,3709.97,,,,,,15.492,0.7001,44261.0,Pipeline Natural Gas,Other Oil,Combustion turbine,,Water Injection,,,CSOSG2
TX,Silas Ray,3559,10,,2021,1275,1079.2,23924.09,,0.08,0.0009,15816.314,0.0639,1.31,0.0221,266163.587,Pipeline Natural Gas,,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Silas Ray,3559,9,,2021,1427,1256.67,43348.78,,0.193,0.001,38225.34,0.0592,24.177,0.0837,643224.982,Pipeline Natural Gas,Diesel Oil,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Ray Olinger,3576,BW2,,2021,1358,1243.75,14490.25,,0.059,0.001,11649.8,0.0594,4.796,0.0321,196020.025,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Overfire Air,,,"ARP, CSOSG2"
TX,Ray Olinger,3576,BW3,,2021,2039,1914.5,48784.25,,0.161,0.001,31841.25,0.0597,14.113,0.0383,535643.4,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology w/ Overfire Air,,,"ARP, CSOSG2"
TX,Ray Olinger,3576,CE1,,2021,2,0.5,0.0,,0.0,0.001,0.45,0.061,0.0,0.02,7.4,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Separated OFA,,,"ARP, CSOSG2"
TX,Ray Olinger,3576,GE4,,2021,206,193.0,12473.75,,0.044,0.001,8754.575,0.059,6.55,0.09,147308.325,Pipeline Natural Gas,,Combustion turbine,,Dry Low NOx Burners,,,"ARP, CSOSG2"
TX,Sim Gideon,3601,1,,2021,1803,1745.62,108095.0,,0.326,0.001,64493.276,0.0591,92.883,0.1236,1085284.187,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,"Overfire Air,Other",,,"ARP, CSOSG2"
TX,Sim Gideon,3601,2,,2021,2134,2067.67,123289.66,,0.362,0.001,71656.123,0.0591,95.835,0.1197,1205817.549,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,"Overfire Air,Other",,,"ARP, CSOSG2"
TX,Sim Gideon,3601,3,,2021,3280,3169.19,462904.89,,1.458,0.001,288770.768,0.0591,374.1,0.1218,4859092.726,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,"Combustion Modification/Fuel Reburning,Overfire Air",,,"ARP, CSOSG2"
TX,J Robert Massengale Generating Station,3604,GT1,,2021,1601,1506.14,64470.81,,0.168,0.001,33287.23,0.0591,10.379,0.0443,560154.164,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Leon Creek,3609,CGT1,,2021,643,562.42,21185.03,,0.064,0.001,12685.489,0.0593,1.762,0.0279,213446.161,Pipeline Natural Gas,,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Leon Creek,3609,CGT2,,2021,614,533.6,19915.39,,0.061,0.001,11994.724,0.0592,1.564,0.0341,201827.521,Pipeline Natural Gas,,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Leon Creek,3609,CGT3,,2021,678,592.94,22803.24,,0.068,0.001,13432.077,0.0592,1.771,0.0258,226018.528,Pipeline Natural Gas,,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,Leon Creek,3609,CGT4,,2021,700,598.34,22585.96,,0.068,0.001,13555.22,0.0592,1.928,0.0317,228124.028,Pipeline Natural Gas,,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,O W Sommers,3611,1,,2021,4365,4344.93,655977.08,,2.136,0.001,423119.589,0.0592,521.835,0.1408,7119744.238,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2, TXSO2"
TX,O W Sommers,3611,2,,2021,3870,3849.13,570164.37,,1.991,0.001,394415.834,0.059,395.283,0.113,6636756.684,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2, TXSO2"
TX,V H Braunig,3612,1,,2021,2171,2139.75,198348.79,,0.643,0.001,127273.331,0.059,267.128,0.1843,2141653.228,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,V H Braunig,3612,2,,2021,1412,1358.19,132375.82,,0.439,0.001,86934.158,0.059,132.867,0.1459,1462829.42,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,V H Braunig,3612,3,,2021,3930,3911.42,552414.93,,1.78,0.001,352586.138,0.059,373.087,0.111,5932929.713,Pipeline Natural Gas,Diesel Oil,Tangentially-fired,,,,,"ARP, CSOSG2"
TX,V H Braunig,3612,CGT5,,2021,680,568.21,24508.03,,0.077,0.0009,14183.651,0.0596,1.849,0.0255,237641.694,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,V H Braunig,3612,CGT6,,2021,789,676.84,29373.07,,0.088,0.0008,17806.496,0.0621,3.123,0.0329,284853.65,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,V H Braunig,3612,CGT7,,2021,729,626.41,26084.46,,0.081,0.0009,15070.663,0.0596,6.468,0.0704,252741.978,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,V H Braunig,3612,CGT8,,2021,621,544.48,22851.88,,0.069,0.0008,13540.996,0.0619,7.736,0.0832,218441.606,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
TX,V H Braunig,3612,CT01,CP01,2021,6162,6140.74,1236318.78,,2.622,0.001,519361.654,0.059,105.72,0.0249,8739242.99,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG2"
TX,V H Braunig,3612,CT02,CP01,2021,7294,7273.14,1490104.41,,3.164,0.001,626650.822,0.059,125.451,0.0241,10544603.025,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSOSG2"
TX,R W Miller,3628,1,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,R W Miller,3628,2,,2021,1681,1637.41,73822.11,,7.958,0.0182,50258.564,0.0615,96.111,0.1915,812701.023,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,R W Miller,3628,3,,2021,2806,2744.65,172657.3,,10.748,0.0074,104391.655,0.0601,109.991,0.1159,1703102.432,Pipeline Natural Gas,Diesel Oil,Dry bottom wall-fired boiler,,Combustion Modification/Fuel Reburning,,,"ARP, CSOSG2"
